msgID,msgFrom,msgDate,msgSeen,msgDeleted,msgNotes
1804bda17e2987a5,sVRvBFAKSc.sVRvBFAKSc@luxkk.us,21 Apr 2022 07:20:24 -0400 (EDT),,1,
1804bb3993f6fa07,linnacarmelo@cyber-wizard.com,15 Feb 2022 18:39:48 +0100,,1,
1804ba5e5e73a8ce,HTVssWCQn.HTVssWCQn@udsqr.us,21 Apr 2022 06:23:16 -0400 (EDT),,1,
1804ba1d4b838650,rnropmXs.rnropmXs@tmwb.us,21 Apr 2022 06:18:54 -0400 (EDT),,1,
1804b8f9bb34fecb,JnnDtIGAm.JnnDtIGAm@heaml.us,21 Apr 2022 05:58:42 -0400 (EDT),,1,
1804b58811e21608,XDlAvXaQ.XDlAvXaQ@oehgw.us,21 Apr 2022 04:58:51 -0400 (EDT),,1,
1804addce18e77f5,deals-bst@yandex.com,19 Apr 2022 16:15:37 +0000,,1,
1804a19f684f4363,nooreply@y5p0cl.y5p0cl.us,20 Apr 2022 23:10:56 -0400 (EDT),,1,
18049ec6bf063f50,verification@slicensus.jp.net,20 Apr 2022 22:20:57 -0400,,1,
180492c298278d9c,cIZFIBOf.cIZFIBOf@vfccf.us,20 Apr 2022 18:51:09 -0400 (EDT),,1,
180491bf90361c7c,kjmIxFGJD.kjmIxFGJD@eqql.us,20 Apr 2022 18:33:31 -0400 (EDT),,1,
18048479e62ac3e1,nooreply@1v9p9w.1v9p9w.us,20 Apr 2022 14:41:31 -0400 (EDT),,1,
18047e9dadc97487,hello@meptik.com,20 Apr 2022 16:58:59 +0000,,1,
18047977d798f403,bRvoLXHI.bRvoLXHI@lntq.us,20 Apr 2022 11:29:09 -0400 (EDT),,1,
1804795122be8760,admin.uggi457zkh@3ht86pwaxg.us,20 Apr 2022 11:26:33 -0400 (EDT),,1,
180478a2b378702c,1r4po86hqD50fuQbXX3Fa4F6oVkLVA3u@xb8wtmjv1btyolh3dcevbcsxtt4luuq8.systemeagle.com,20 Apr 2022 11:14:33 -0400 (EDT),,1,
180478056ea28494,GkJkQoXQf.GkJkQoXQf@prdbc.us,20 Apr 2022 11:03:51 -0400 (EDT),,1,
180476d9f659ab63,EordhJDXtZ.EordhJDXtZ@nmpo.us,20 Apr 2022 10:43:23 -0400 (EDT),,1,
180475f06440324d,info@wletwo.com,18 Apr 2022 10:16:09 +0000,,1,
1804747bf5e9b555,idAsyraoo.idAsyraoo@aubcg.us,20 Apr 2022 10:01:43 -0400 (EDT),,1,
1804727fc7f591c7,oeBHBSBN.oeBHBSBN@cplm.us,20 Apr 2022 09:27:23 -0400 (EDT),,1,
18047011db1be14f,jasminjasmin23@protonmail.com,19 Apr 2022 16:45:25 +0000,,1,
